Accuracy_SIFT,Specifity_SIFT,Recall_SIFT,Accuracy_POLYPHEN,Specifity_POLYPHEN,Recall_POLYPHEN,Accuracy_VC22,Specifity_VC22,Recall_VC22,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_VC22,TN_VC22,FP_VC22,FN_VC22
0.83,0.3542,0.8346,0.5519,0.7708,0.5498,0.9387,0.5208,0.9427,4138,17,31,820,2726,37,11,2232,4674,25,23,284
0.8286,0.375,0.833,0.5551,0.7708,0.553,0.9393,0.5625,0.9429,4130,18,30,828,2742,37,11,2216,4675,27,21,283
0.8168,0.3542,0.8213,0.5352,0.7917,0.5327,0.9449,0.6042,0.9482,4072,17,31,886,2641,38,10,2317,4701,29,19,257
0.8212,0.3125,0.8261,0.5491,0.7292,0.5474,0.9341,0.5208,0.9381,4096,15,33,862,2714,35,13,2244,4651,25,23,307
0.818,0.3333,0.8227,0.5346,0.75,0.5325,0.9367,0.6042,0.9399,4079,16,32,879,2640,36,12,2318,4660,29,19,298
0.8242,0.25,0.8298,0.5412,0.7292,0.5393,0.9395,0.6042,0.9427,4114,12,36,844,2674,35,13,2284,4674,29,19,284
0.8188,0.3125,0.8237,0.5429,0.7917,0.5405,0.9423,0.6042,0.9455,4084,15,33,874,2680,38,10,2278,4688,29,19,270
0.8252,0.3125,0.8302,0.5447,0.7292,0.543,0.9377,0.5625,0.9413,4116,15,33,842,2692,35,13,2266,4667,27,21,291
0.8232,0.3542,0.8278,0.5408,0.7083,0.5391,0.9694,0.5417,0.9736,4104,17,31,854,2673,34,14,2285,4827,26,22,131
0.812,0.4583,0.8154,0.5425,0.7708,0.5403,0.9537,0.5625,0.9574,4043,22,26,915,2679,37,11,2279,4747,27,21,211
0.8184,0.4375,0.8221,0.5485,0.7083,0.547,0.9393,0.5833,0.9427,4076,21,27,882,2712,34,14,2246,4674,28,20,284
0.8254,0.3125,0.8304,0.5402,0.7292,0.5383,0.9397,0.6875,0.9421,4117,15,33,841,2669,35,13,2289,4671,33,15,287
0.8192,0.2917,0.8243,0.5435,0.8333,0.5407,0.9507,0.6667,0.9534,4087,14,34,871,2681,40,8,2277,4727,32,16,231
0.8142,0.3542,0.8187,0.5412,0.7708,0.5389,0.9403,0.6042,0.9435,4059,17,31,899,2672,37,11,2286,4678,29,19,280
0.831,0.4375,0.8348,0.5435,0.8542,0.5405,0.9479,0.5625,0.9516,4139,21,27,819,2680,41,7,2278,4718,27,21,240
0.8244,0.3125,0.8294,0.5563,0.7292,0.5547,0.9393,0.7292,0.9413,4112,15,33,846,2750,35,13,2208,4667,35,13,291
0.8226,0.25,0.8282,0.539,0.7917,0.5365,0.9403,0.6458,0.9431,4106,12,36,852,2660,38,10,2298,4676,31,17,282
0.8158,0.25,0.8213,0.5332,0.7292,0.5313,0.9485,0.6042,0.9518,4072,12,36,886,2634,35,13,2324,4719,29,19,239
0.8266,0.2917,0.8318,0.5467,0.7708,0.5446,0.9375,0.5833,0.9409,4124,14,34,834,2700,37,11,2258,4665,28,20,293
0.8144,0.4583,0.8179,0.5242,0.7917,0.5216,0.9413,0.5417,0.9451,4055,22,26,903,2586,38,10,2372,4686,26,22,272
0.8206,0.25,0.8261,0.5406,0.7083,0.5389,0.9501,0.625,0.9532,4096,12,36,862,2672,34,14,2286,4726,30,18,232
0.8286,0.2708,0.834,0.5453,0.6875,0.544,0.9419,0.5833,0.9453,4135,13,35,823,2697,33,15,2261,4687,28,20,271
0.8196,0.3958,0.8237,0.5402,0.8125,0.5375,0.9477,0.6042,0.951,4084,19,29,874,2665,39,9,2293,4715,29,19,243
0.8308,0.3333,0.8356,0.5489,0.7292,0.5472,0.9389,0.6458,0.9417,4143,16,32,815,2713,35,13,2245,4669,31,17,289
0.8174,0.2708,0.8227,0.5439,0.6458,0.543,0.9179,0.625,0.9207,4079,13,35,879,2692,31,17,2266,4565,30,18,393
0.8228,0.3542,0.8273,0.5583,0.7083,0.5569,0.9527,0.5,0.957,4102,17,31,856,2761,34,14,2197,4745,24,24,213
0.8264,0.3542,0.831,0.5388,0.8125,0.5361,0.9277,0.5625,0.9312,4120,17,31,838,2658,39,9,2300,4617,27,21,341
0.8176,0.2917,0.8227,0.5515,0.8125,0.549,0.9435,0.5,0.9478,4079,14,34,879,2722,39,9,2236,4699,24,24,259
0.8256,0.2708,0.831,0.5469,0.7917,0.5446,0.9423,0.4375,0.9472,4120,13,35,838,2700,38,10,2258,4696,21,27,262
0.8222,0.4375,0.8259,0.5408,0.7292,0.5389,0.9265,0.5,0.9306,4095,21,27,863,2672,35,13,2286,4614,24,24,344
