Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
RF8_ET1_BCDT15,7,0.5,0.714,0.508,0.718,0.613,0.989,0.025
BCDT14_RF8_ET1,3,0.1,0.759,0.461,0.763,0.612,0.988,0.045
BCDT14_RF8_ET1,3,0.5,0.689,0.533,0.691,0.612,0.989,0.023
DT7_BCDT14_RF8,4,0.25,0.743,0.477,0.747,0.612,0.989,0.028
BCDT14_ET1_BCDT15,4,0.5,0.691,0.531,0.694,0.612,0.989,0.023
RF8_ET1_BCDT15,6,0.05,0.909,0.306,0.918,0.612,0.988,0.074
DT7_BCDT14_ET1,6,0.1,0.829,0.388,0.837,0.612,0.988,0.041
BCDT14_RF8_ET1,6,0.4,0.737,0.482,0.741,0.612,0.989,0.026
RF8_ET1_BCDT15,7,0.1,0.877,0.338,0.886,0.612,0.988,0.055
DT7_BCDT14_BCDT15,7,0.15,0.769,0.45,0.774,0.612,0.989,0.03
DT7_BCDT14_RF8_ET1_BCDT15,3,0.3,0.718,0.5,0.721,0.611,0.989,0.025
BCDT14_ET1_BCDT15,3,0.5,0.687,0.533,0.689,0.611,0.989,0.023
RF8_ET1_BCDT15,4,0.5,0.69,0.53,0.692,0.611,0.989,0.023
DT7_BCDT14_RF8,6,0.1,0.838,0.376,0.845,0.611,0.988,0.044
BCDT14_ET1_BCDT15,6,0.25,0.789,0.426,0.795,0.611,0.988,0.032
DT7_BCDT14_BCDT15,6,0.3,0.704,0.515,0.707,0.611,0.989,0.024
DT7_RF8_BCDT15,6,0.3,0.721,0.498,0.725,0.611,0.989,0.025
DT7_ET1_BCDT15,6,0.4,0.711,0.508,0.714,0.611,0.989,0.024
RF8_ET1_BCDT15,7,0.05,0.912,0.3,0.922,0.611,0.988,0.078
DT7_RF8_ET1,7,0.1,0.875,0.338,0.884,0.611,0.988,0.054
DT7_BCDT14_RF8,7,0.25,0.777,0.439,0.783,0.611,0.988,0.031
DT7_ET1_BCDT15,7,0.5,0.681,0.538,0.683,0.611,0.989,0.022
DT7_BCDT14_ET1,3,0.5,0.687,0.53,0.689,0.61,0.989,0.023
RF8_ET1_BCDT15,3,0.5,0.687,0.53,0.689,0.61,0.989,0.023
BCDT14_ET1_BCDT15,5,0.25,0.775,0.439,0.781,0.61,0.988,0.032
DT7_RF8_ET1,6,0.05,0.906,0.305,0.916,0.61,0.988,0.07
BCDT14_RF8_ET1,6,0.3,0.776,0.439,0.781,0.61,0.988,0.031
DT7_BCDT14_ET1,7,0.05,0.876,0.336,0.885,0.61,0.988,0.056
DT7_BCDT14_BCDT15,7,0.25,0.743,0.473,0.747,0.61,0.989,0.027
DT7_RF8_ET1,7,0.5,0.716,0.5,0.72,0.61,0.989,0.024
DT7_RF8_BCDT15,3,0.1,0.729,0.485,0.733,0.609,0.989,0.033
BCDT14_RF8_BCDT15,3,0.1,0.742,0.473,0.746,0.609,0.988,0.038
DT7_BCDT14_RF8,3,0.25,0.713,0.502,0.716,0.609,0.989,0.025
BCDT14_RF8_BCDT15,3,0.25,0.715,0.499,0.718,0.609,0.989,0.025
DT7_RF8_ET1,3,0.5,0.686,0.529,0.689,0.609,0.989,0.022
DT7_RF8_BCDT15,4,0.15,0.658,0.56,0.659,0.609,0.989,0.024
BCDT14_RF8_ET1,4,0.3,0.751,0.463,0.755,0.609,0.989,0.029
BCDT14_RF8_BCDT15,4,0.3,0.726,0.487,0.73,0.609,0.989,0.026
DT7_BCDT14_RF8,4,0.4,0.693,0.523,0.696,0.609,0.989,0.024
RF8_ET1_BCDT15,6,0.25,0.798,0.414,0.805,0.609,0.988,0.033
DT7_RF8_ET1,7,0.15,0.839,0.371,0.846,0.609,0.988,0.042
DT7_ET1_BCDT15,3,0.3,0.708,0.506,0.711,0.608,0.989,0.024
DT7_BCDT14_BCDT15,4,0.3,0.698,0.514,0.701,0.608,0.989,0.023
DT7_BCDT14_BCDT15,4,0.5,0.639,0.576,0.641,0.608,0.989,0.019
DT7_BCDT14_BCDT15,6,0.4,0.678,0.535,0.681,0.608,0.989,0.021
BCDT14_RF8_BCDT15,7,0.25,0.781,0.43,0.786,0.608,0.988,0.031
BCDT14_RF8_ET1,4,0.5,0.686,0.525,0.688,0.607,0.989,0.022
BCDT14_RF8_ET1,5,0.25,0.78,0.429,0.786,0.607,0.988,0.032
BCDT14_ET1_BCDT15,6,0.1,0.837,0.37,0.844,0.607,0.988,0.041
